         1         1        14 20.010714  0.025578 19.901585
         1         2        14 19.828537  0.027658 19.700878
         1         3        14 19.694214  0.012708 19.552896
         1         3        15 19.584358  0.021429 19.431868
         1         4        15 19.424028  0.029749 19.255232
         1         5        15 19.240538  0.030683 19.053080
         1         6        15 19.077934  0.024551 18.873940
         1         6        14 18.937605  0.024548 18.719337
         1         7        14 18.825644  0.015433 18.595989
         1         7        13 18.719870  0.023227 18.479460
         1         8        13 18.566860  0.033985 18.310888
         1         9        13 18.386900  0.035051 18.112627
         1         9        14 18.287588  0.003672 18.003216
         1        10        14 18.178991  0.039976 17.883574
         1        10        15 18.035973  0.017987 17.726009
         1        11        15 17.892506  0.041968 17.567953
         1        12        15 17.701406  0.039531 17.357418
         1        12        16 17.608841  0.000539 17.255440
         1        13        16 17.496944  0.049333 17.132162
         1        14        16 17.348421  0.017231 16.968534
         1        14        17 17.243919  0.030780 16.853403
         1        15        16 17.091406  0.040485 16.685379
         1        15        17 16.957432  0.023092 16.537781
         1        16        16 16.809130  0.049034 16.374395
         1        17        16 16.614172  0.047549 16.159611
         1        18        16 16.474119  0.023126 16.005314
         1        18        15 16.339621  0.046316 15.857138
         1        18        14 16.150534  0.053051 15.648820
         1        18        13 15.994973  0.030127 15.477440
         1        19        13 15.838717  0.055410 15.305292
         1        20        13 15.647218  0.051200 15.094316
         1        21        13 15.452878  0.059506 14.880212
         1        22        13 15.315166  0.020035 14.728495
         1        22        14 15.201440  0.046971 14.603204
         1        23        14 15.025872  0.057925 14.409780
         1        23        15 14.926343  0.002063 14.300128
         1        24        15 14.823975  0.060903 14.187349
         1        25        15 14.624385  0.063180 13.967461
         1        25        16 14.513992  0.006212 13.845841
         1        26        16 14.401394  0.066019 13.721791
         1        26        17 14.267583  0.020166 13.574372
         1        27        17 14.147312  0.058763 13.441870
         1        28        17 13.966776  0.061116 13.242972
         1        29        17 13.841625  0.022963 13.105094
         1        29        16 13.703649  0.071443 12.953086
         1        29        15 13.569811  0.020672 12.805636
         1        30        15 13.474375  0.046041 12.700494
         1        30        14 13.312326  0.068531 12.521966
         1        30        13 13.170311  0.032880 12.365506
         1        31        13 13.029245  0.069568 12.210094
         1        32        13 12.834663  0.073535 11.995723
         1        33        13 12.703845  0.023727 11.851602
         1        33        14 12.607033  0.049262 11.744943
         1        34        14 12.451499  0.069201 11.573591
         1        35        14 12.271511  0.069655 11.375298
         1        36        14 12.085202  0.076287 11.170041
         1        37        14 11.987258  0.001000 11.062137
         1        37        13 11.894085  0.073637 10.959488
         1        38        13 11.712960  0.072495 10.759942
         1        39        13 11.533372  0.074473 10.562090
         1        40        13 11.346543  0.080621 10.356261
